scenario_id,policy_name,bulk_pressure,urgent_arrival_phase,urgent_tightness,seed,held_out,status,arrival_normalized_weighted_goodput,unweighted_slo_success_rate,completion_fraction,bulk_n,bulk_slo_success_rate,urgent_n,urgent_slo_success_rate,peak_kv_utilization,steps_over_reserve_threshold,n_steps,n_reserve_deferrals
kvp2.bulk10.phaselate.tighttight.s20260915,kv_constrained_online,low,late,tight,20260915,True,success,0.85,0.85,1.0,10,0.8,10,0.9,1.049,790,2491,242
kvp2.bulk24.phaseearly.tightloose.s20260910,least_laxity_first,high,early,loose,20260910,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.1283333333333334,3128,3850,0
kvp2.bulk24.phaseearly.tightloose.s20260911,least_laxity_first,high,early,loose,20260911,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.1043333333333334,3105,3694,0
kvp2.bulk24.phaseearly.tightloose.s20260913,least_laxity_first,high,early,loose,20260913,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.1265,2529,3890,0
kvp2.bulk24.phaseearly.tightloose.s20260912,kv_constrained_online,high,early,loose,20260912,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.024,2287,4201,1081
kvp2.bulk24.phaseearly.tightloose.s20260910,kv_constrained_online,high,early,loose,20260910,False,success,0.7647058823529411,0.7647058823529411,1.0,24,0.6666666666666666,10,1.0,1.029,1972,4965,2412
kvp2.bulk24.phaseearly.tightloose.s20260911,kv_constrained_online,high,early,loose,20260911,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.063,2276,4346,2211
kvp2.bulk24.phaseearly.tightloose.s20260914,least_laxity_first,high,early,loose,20260914,True,success,0.9705882352941176,0.9705882352941176,1.0,24,0.9583333333333334,10,1.0,1.1563333333333334,2213,2548,0
kvp2.bulk24.phaseearly.tightloose.s20260913,kv_constrained_online,high,early,loose,20260913,False,success,0.8235294117647058,0.8235294117647058,1.0,24,0.75,10,1.0,1.115,1718,4321,2875
kvp2.bulk24.phaseearly.tightloose.s20260914,kv_constrained_online,high,early,loose,20260914,True,success,0.9411764705882353,0.9411764705882353,1.0,24,0.9166666666666666,10,1.0,1.0668333333333333,1590,2948,2726
kvp2.bulk24.phaseearly.tightloose.s20260912,least_laxity_first,high,early,loose,20260912,False,success,0.6176470588235294,0.6176470588235294,1.0,24,0.625,10,0.6,1.0773333333333333,2462,3694,0
kvp2.bulk24.phaseearly.tighttight.s20260910,least_laxity_first,high,early,tight,20260910,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.1283333333333334,3128,3850,0
kvp2.bulk24.phaseearly.tightloose.s20260915,least_laxity_first,high,early,loose,20260915,True,success,0.6470588235294118,0.6470588235294118,1.0,24,0.5416666666666666,10,0.9,1.1043333333333334,3333,3962,0
kvp2.bulk24.phaseearly.tighttight.s20260911,least_laxity_first,high,early,tight,20260911,False,success,0.6470588235294118,0.6470588235294118,1.0,24,0.6666666666666666,10,0.6,1.1043333333333334,3105,3694,0
kvp2.bulk24.phaseearly.tighttight.s20260910,kv_constrained_online,high,early,tight,20260910,False,success,0.7058823529411765,0.7058823529411765,1.0,24,0.5833333333333334,10,1.0,1.0455,1738,5079,1195
kvp2.bulk24.phaseearly.tighttight.s20260911,kv_constrained_online,high,early,tight,20260911,False,success,0.7941176470588235,0.7941176470588235,1.0,24,0.7083333333333334,10,1.0,1.0786666666666667,2143,4314,809
